💚	Green Heart	People
💛	Yellow Heart	People
💜	Purple Heart	People
💝	Heart With Ribbon	People
💞	Revolving Hearts	People
💟	Heart Decoration	People
💠	Diamond Shape With A Dot Inside	Symbols
💡	Electric Light Bulb	Activities & objects
💢	Anger Symbol	Symbols
💣	Bomb	Activities & objects
💤	Sleeping Symbol	Symbols
💥	Collision Symbol	Symbols
💦	Splashing Sweat Symbol	Smileys
💧	Droplet	Animals & nature
💨	Dash Symbol	Symbols
💩	Pile Of Poo	Smileys
💪	Flexed Biceps	Food & drink
💫	Dizzy Symbol	Animals & nature
💬	Speech Balloon	Activities & objects
💭	Thought Balloon	Activities & objects
💮	White Flower	Animals & nature
💯	Hundred Points Symbol	Symbols
💰	Money Bag	Activities & objects
💱	Currency Exchange	Symbols
💲	Heavy Dollar Sign	Activities & objects
💳	Credit Card	Travel & places
💴	Banknote With Yen Sign	Travel & places
💵	Banknote With Dollar Sign	Travel & places
💶	Banknote With Euro Sign	Travel & places
💷	Banknote With Pound Sign	Travel & places
💸	Money With Wings	Activities & objects
💹	Chart With Upwards Trend And Yen Sign	Activities & objects
💺	Seat	Travel & places
💻	Personal Computer	People
💼	Briefcase	Other
💽	Minidisc	Other
💾	Floppy Disk	Activities & objects
💿	Optical Disc	Other
📀	Dvd	Activities & objects
📁	File Folder	People
📂	Open File Folder	People
📃	Page With Curl	Activities & objects
📄	Page Facing Up	Activities & objects
📅	Calendar	Activities & objects
📆	Tear-Off Calendar	Smileys
📇	Card Index	Travel & places
📈	Chart With Upwards Trend	Activities & objects
📉	Chart With Downwards Trend	Activities & objects
📊	Bar Chart	Activities & objects
📋	Clipboard	Animals & nature
📌	Pushpin	Activities & objects
📍	Round Pushpin	Activities & objects
📎	Paperclip	Activities & objects
📏	Straight Ruler	Activities & objects
📐	Triangular Ruler	Activities & objects
📑	Bookmark Tabs	Activities & objects
📒	Ledger	Activities & objects
📓	Notebook	Activities & objects
📔	Notebook With Decorative Cover	Animals & nature
📕	Closed Book	Activities & objects
📖	Open Book	Activities & objects
📗	Green Book	Activities & objects
📘	Blue Book	Activities & objects
📙	Orange Book	Food & drink
📚	Books	Activities & objects
📛	Name Badge	Other
📜	Scroll	Activities & objects
📝	Memo	Activities & objects
📞	Telephone Receiver	Activities & objects
📟	Pager	Activities & objects
📠	Fax Machine	Activities & objects
📡	Satellite Antenna	Animals & nature
📢	Public Address Loudspeaker	Activities & objects
📣	Cheering Megaphone	Activities & objects
📤	Outbox Tray	Animals & nature
📥	Inbox Tray	Animals & nature
📦	Package	Other
📧	E-Mail Symbol	Activities & objects
📨	Incoming Envelope	Activities & objects
📩	Envelope With Downwards Arrow Above	Activities & objects
📪	Closed Mailbox With Lowered Flag	Animals & nature
📫	Closed Mailbox With Raised Flag	Animals & nature
📬	Open Mailbox With Raised Flag	Animals & nature
📭	Open Mailbox With Lowered Flag	Animals & nature
📮	Postbox	Animals & nature
📯	Postal Horn	Other
📰	Newspaper	Activities & objects
📱	Mobile Phone	Activities & objects
📲	Mobile Phone With Rightwards Arrow At Left	Activities & objects
📳	Vibration Mode	Animals & nature
📴	Mobile Phone Off	Activities & objects
📵	No Mobile Phones	Activities & objects
📶	Antenna With Bars	Animals & nature
📷	Camera	Activities & objects
📸	Camera With Flash	Activities & objects
📹	Video Camera	Activities & objects
📺	Television	Activities & objects
📻	Radio	Activities & objects
📼	Videocassette	Activities & objects
📽	Film Projector	Activities & objects
📾	Portable Stereo	Other
📿	Prayer Beads	Other
🔀	Twisted Rightwards Arrows	Symbols
🔁	Clockwise Rightwards And Leftwards Open Circle Arrows	Activities & objects
🔂	Clockwise Rightwards And Leftwards Open Circle Arrows With Circled One Overlay	Activities & objects
🔃	Clockwise Downwards And Upwards Open Circle Arrows	Activities & objects
🔄	Anticlockwise Downwards And Upwards Open Circle Arrows	Animals & nature
🔅	Low Brightness Symbol	Symbols
🔆	High Brightness Symbol	Symbols
🔇	Speaker With Cancellation Stroke	Activities & objects
🔈	Speaker	Activities & objects
🔉	Speaker With One Sound Wave	Animals & nature
🔊	Speaker With Three Sound Waves	Animals & nature
🔋	Battery	Animals & nature
🔌	Electric Plug	Activities & objects
🔍	Left-Pointing Magnifying Glass	Activities & objects
🔎	Right-Pointing Magnifying Glass	Activities & objects
🔏	Lock With Ink Pen	Activities & objects
🔐	Closed Lock With Key	Activities & objects
🔑	Key	Activities & objects
🔒	Lock	Activities & objects
🔓	Open Lock	Activities & objects
🔔	Bell	Activities & objects
🔕	Bell With Cancellation Stroke	Activities & objects
🔖	Bookmark	Activities & objects
🔗	Link Symbol	Activities & objects
🔘	Radio Button	Activities & objects
🔙	Back With Leftwards Arrow Above	Symbols
🔚	End With Leftwards Arrow Above	Symbols
🔛	On With Exclamation Mark With Left Right Arrow Above	Symbols
🔜	Soon With Rightwards Arrow Above	Symbols
🔝	Top With Upwards Arrow Above	Symbols
🔞	No One Under Eighteen Symbol	Symbols
🔟	Keycap Ten	Activities & objects
🔠	Input Symbol For Latin Capital Letters	Symbols
🔡	Input Symbol For Latin Small Letters	Symbols
🔢	Input Symbol For Numbers	Symbols
🔣	Input Symbol For Symbols	Symbols
🔤	Input Symbol For Latin Letters	Symbols
🔥	Fire	Animals & nature
🔦	Electric Torch	Activities & objects
🔧	Wrench	Activities & objects
🔨	Hammer	Activities & objects
🔩	Nut And Bolt	Activities & objects
🔪	Hocho	Other
🔫	Pistol	Activities & objects
🔬	Microscope	Activities & objects
🔭	Telescope	Activities & objects
🔮	Crystal Ball	Activities & objects
🔯	Six Pointed Star With Middle Dot	Animals & nature
🔰	Japanese Symbol For Beginner	Symbols
🔱	Trident Emblem	Symbols
🔲	Black Square Button	Symbols
🔳	White Square Button	Symbols
🔴	Large Red Circle	Symbols
🔵	Large Blue Circle	Symbols
🔶	Large Orange Diamond	Food & drink
🔷	Large Blue Diamond	Symbols
🔸	Small Orange Diamond	Food & drink
🔹	Small Blue Diamond	Symbols
🔺	Up-Pointing Red Triangle	Symbols
🔻	Down-Pointing Red Triangle	Symbols
🔼	Up-Pointing Small Red Triangle	Symbols
🔽	Down-Pointing Small Red Triangle	Symbols
🔾	Lower Right Shadowed White Circle	Symbols
🔿	Upper Right Shadowed White Circle	Symbols
🕀	Circled Cross Pommee	Symbols
🕁	Cross Pommee With Half-Circle Below	Symbols
🕂	Cross Pommee	Symbols
🕃	Notched Left Semicircle With Three Dots	Symbols
🕄	Notched Right Semicircle With Three Dots	Symbols
🕅	Symbol For Marks Chapter	Symbols
🕆	White Latin Cross	Symbols
🕇	Heavy Latin Cross	Symbols
🕈	Celtic Cross	Symbols
🕉	Om Symbol	Symbols
🕊	Dove Of Peace	Symbols
🕋	Kaaba	Travel & places
🕌	Mosque	Travel & places
🕍	Synagogue	Travel & places
🕎	Menorah With Nine Branches	Symbols
🕏	Bowl Of Hygieia	Animals & nature
🕐	Clock Face One Oclock	Smileys
🕑	Clock Face Two Oclock	Smileys
🕒	Clock Face Three Oclock	Smileys
🕓	Clock Face Four Oclock	Smileys
🕔	Clock Face Five Oclock	Smileys
🕕	Clock Face Six Oclock	Smileys
🕖	Clock Face Seven Oclock	Smileys
🕗	Clock Face Eight Oclock	Smileys
🕘	Clock Face Nine Oclock	Smileys
🕙	Clock Face Ten Oclock	Smileys
🕚	Clock Face Eleven Oclock	Smileys
🕛	Clock Face Twelve Oclock	Smileys
🕜	Clock Face One-Thirty	Smileys
🕝	Clock Face Two-Thirty	Smileys
🕞	Clock Face Three-Thirty	Smileys
🕟	Clock Face Four-Thirty	Smileys
🕠	Clock Face Five-Thirty	Smileys
🕡	Clock Face Six-Thirty	Smileys
🕢	Clock Face Seven-Thirty	Smileys
🕣	Clock Face Eight-Thirty	Smileys
🕤	Clock Face Nine-Thirty	Smileys
🕥	Clock Face Ten-Thirty	Smileys
🕦	Clock Face Eleven-Thirty	Smileys
🕧	Clock Face Twelve-Thirty	Smileys
🕨	Right Speaker	Activities & objects
🕩	Right Speaker With One Sound Wave	Animals & nature
🕪	Right Speaker With Three Sound Waves	Animals & nature
🕫	Bullhorn	Other
🕬	Bullhorn With Sound Waves	Animals & nature
🕭	Ringing Bell	Activities & objects
🕮	Book	Activities & objects
🕯	Candle	Activities & objects
🕰	Mantelpiece Clock	People
🕱	Black Skull And Crossbones	Smileys
🕲	No Piracy	Other
🕳	Hole	Other
🕴	Man In Business Suit Levitating	People
🕵	Sleuth Or Spy	Other
🕶	Dark Sunglasses	Animals & nature
🕷	Spider	Animals & nature
🕸	Spider Web	Animals & nature
🕹	Joystick	Activities & objects
🕺	Man Dancing	People
🕻	Left Hand Telephone Receiver	People
🕼	Telephone Receiver With Page	Activities & objects
🕽	Right Hand Telephone Receiver	People
🕾	White Touchtone Telephone	Activities & objects
🕿	Black Touchtone Telephone	Activities & objects
🖀	Telephone On Top Of Modem	Activities & objects
🖁	Clamshell Mobile Phone	Animals & nature
🖂	Back Of Envelope	Activities & objects
🖃	Stamped Envelope	Activities & objects
🖄	Envelope With Lightning	Animals & nature
🖅	Flying Envelope	Animals & nature
🖆	Pen Over Stamped Envelope	Activities & objects
🖇	Linked Paperclips	Activities & objects
🖈	Black Pushpin	Activities & objects
🖉	Lower Left Pencil	Activities & objects
🖊	Lower Left Ballpoint Pen	Activities & objects
🖋	Lower Left Fountain Pen	Travel & places
🖌	Lower Left Paintbrush	Activities & objects
🖍	Lower Left Crayon	Activities & objects
🖎	Left Writing Hand	People
🖏	Turned Ok Hand Sign	People
🖐	Raised Hand With Fingers Splayed	People
🖑	Reversed Raised Hand With Fingers Splayed	People
🖒	Reversed Thumbs Up Sign	People
🖓	Reversed Thumbs Down Sign	People
🖔	Reversed Victory Hand	People
🖕	Reversed Hand With Middle Finger Extended	People
🖖	Raised Hand With Part Between Middle And Ring Fingers	People
🖗	White Down Pointing Left Hand Index	People
🖘	Sideways White Left Pointing Index	Symbols
